EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5578777,SUFFOLK CO.,COUNTYWIDE,9/18/96,300,Flood,,,0,0,0,0,MA,EST,,2053917,C,25,BOX,0,0,,,,,,,,,COUNTYWIDE,9/18/96,1200,,,,,,,1
5237886,SUFFOLK (ZONE),,3/5/01,800,Flood,,,0,0,15000000,0,MA,EST,,1112489,Z,15,BOX,0,0,TRAINED SPOTTER,,,,,,,,,3/6/01,1100,,,,,,"A major winter storm impacted the Bay State with near blizzard conditions, high winds, and coastal flooding. The slow-moving storm, which tracked south of New England, dumped over two feet of snow across the interior, knocked out power to about 80,000 customers, and shut down businesses and schools for several days. There were also many reports of downed trees and wires during the height of the storm, along with reports of lightning and thunder. Hundreds of flights at Logan International Airport were canceled, as were flights at other nearby airports. In magnitude, it was the worst storm to affect the state since 1992, and a state of emergency was in effect for three days. After the storm, the weight of the heavy wet snow caused several roof collapses throughout the state, most notably at a church in Westford. No injuries were reported. Damage from this storm was estimated to be in the tens of millions of dollars.
 
 
 
 The highest snowfall totals were reported from the east slopes of the Berkshires across Worcester County and into northeast Massachusetts, where amounts of 15 to 30 inches were common. Greater Boston received between 12 and 22 inches of snow, but Logan International Airport received 9.8 inches from this storm. Amounts in southeast Massachusetts ranged from 2 to 4 inches along the immediate coast to as much as a foot farther inland. Other official totals include 23 inches at the Blue Hills Observatory in Milton, 22 inches at Worcester Airport, and 9.5 inches at the National Weather Service in Taunton.
 
 
 
 Powerful northeast winds affected much of east coastal and southeast Massachusetts. Speeds of 50 to 60 mph were widely observed and caused damage to trees and power lines, especially on Cape Cod and the islands. Some unofficial gusts reported by spotters include 64 mph in Wareham, 61 mph in Fairhaven, and 60 mph at Nauset Beach in Orleans. At Chatham Municipal Airport, winds gusted to 63 mph.
 
 
 
 High tides during the storm ran 2 to 3 feet above normal, resulting in widespread coastal flooding along the entire east facing coastline, including Cape Cod and the islands. The strong surf slammed sea walls and flooded beachfront homes and roadways, and damaged a part of the sea wall in Winthrop. In Marblehead, Ocean Avenue and Front Street were flooded, as was Nahant Road in Nahant. In Winthrop, Winthrop Shore Drive, Shirley Avenue, and Moore and Charles Streets were flooded. Flood waters also impacted the Jamaicaway in Boston and Quincy Shore Drive in Quincy. In Hull, flooding affected Gun Rock, Atlantic, and Nantasket Avenues while in Scituate, flooding affected Turner and Jericho Roads as well as 5th, 6th, and 7th Avenues. In its wake, the flooding left behind piles of seaweed, pieces of deck and lawn furniture, and even lobsters and fish.",2
5488356,SUFFOLK / ALSO PART OF NORFOLK (ZONE),,1/31/06,1220,Coastal Flood,,,0,0,10000,0,MA,EST,,1203239,Z,15,BOX,0,0,AMATEUR RADIO,,,,,,,,,1/31/06,1320,,,,,,A low pressure system developed off the mid Atlantic coast and then intensified as it passed southeast of Nantucket on 31 January 2006. Gale force winds combined with an already high astronomical tide produced widespread minor to moderate coastal flooding along the Eastern Massachusetts coastline. No known injuries directly resulted from this coastal flood event.,3
5513527,SUFFOLK CO.,COUNTYWIDE,5/13/06,1300,Flood,,,0,0,0,0,MA,EST,,1211821,C,25,BOX,0,0,AMATEUR RADIO,,,,,,,,COUNTYWIDE,5/14/06,600,,,,,,"Heavy rainfall, most of it falling over a 100 hour period, caused widespread flooding across much of eastern Massachusetts of small streams and main stem rivers. Major flooding of a number of small streams and main stem rivers occurred in Essex County of Massachusetts. The Governor of Massachusetts declared a State of Emergency for a time during this event, and the President declared major disaster status for those affected in Essex, Middlesex, and Suffolk Counties in Massachusetts. At some locations, this was the worst flooding recorded since the 1938 Hurricane and the great rain/snowmelt floods in March 1936.
 
 
 
 The focus of heavy rain shifted to eastern Massachusetts late Friday night through Monday morning with Essex and eastern Middlesex Counties impacted the greatest. Storm rainfall totaled 8 to 12 inches across the area with a few locations in Essex County even exceeding 12 inches.
 
 
 
 The event prompted the evacuation of several thousand people in northeast Massachusetts and numerous road closures, including U.S. Route 1, a major artery for Boston-bound commuters. A number of schools were closed for several days due to the flooding. 
 
 
 
 About a half dozen dams, including ones along the Spicket River in Methuen, Mystic River in Arlington, and the Pow Wow River in Amesbury, raised the concerns of local officials and were monitored closely. Concerns with these dams did trigger precautionary evacuations. A small dam did fail in Rowley with limited impact (partial road washouts). 
 
 
 
 At least two communities have had issues with sewage running directly off into near by rivers due to washed out culverts and roads. A major sewage release into the Merrimack River impacted shellfish beds along the northeast Massachusetts coast.
 
 
 
 Record flows were recorded along some streams, including the Spicket, Ipswich and Parker Rivers in Essex County Massachusetts. Other crests were the highest since the 1938 Hurricane or 1936 floods. 
 
 
 
 For those main stem rivers in northeast Massachusetts with long periods of record, this event featured the highest crests since the 1938 Hurricane and 1936 heavy rain/snowmelt floods. The Merrimack River at Haverhill reached the third highest crest on record. The Merrimack River at Lowell reached its fourth highest crest on record (a record long enough to include a historical April event in 1852). As an interesting footnote to this event, this episode now stands as the most significant flood event on the main stem Merrimack River since the advent of Flood Control in the basin.
 
 
 
 Two fatalities (adult males) were attributed to flooding from the storm. Both occurred in Topsfield in the vicinity of the Ipswich River. Both fatalities appeared to be weather-related. One of the fatalities was reported to have occurred after a person drove around barricades in the road, and one occurred after a person was swept into the river.",4
2161,SUFFOLK CO.,BOSTON,10/28/06,1400,Flood,,,0,0,8000,0,MA,EST-5,,544,C,25,BOX,0,0,Broadcast Media,Heavy Rain,,,0,N,0,N,BOSTON,10/28/06,1630,42.32,-71.07,42.32,-71.07,Significant urban flooding was reported throughout the city of Boston.,"Low pressure intensified rapidly as it tracked from the mid Atlantic states into New England. This storm system brought damaging east to southeast winds to much of eastern Massachusetts, where wind gusts were measured as high as 66 mph on Cape Cod.|Trained spotters and amateur radio operators reported widespread damage from the Merrimack Valley into the metropolitan Boston area, as well as southeast Massachusetts including Cape Cod and the islands. There were many reports of downed or uprooted trees, some of which fell onto houses or vehicles. According to media reports, an estimated 11,000 customers were left without power. In Swampscott, the combination of wind and rough seas ripped five sailboats and two powerboats from their moorings, causing them to either smash into rocks or run aground on the beach.|Significant coastal flooding was reported along the south coast of Massachusetts, where moderate coastal flooding was reported in New Bedford on French Street.|In addition, rainfall totals of 2 to 4 inches resulted in widespread urban flooding from greater Boston to the South Shore. Several roads were closed due to flooding from Boston and Cambridge to Wellesley, Taunton, and Brockton.",5
26758,SUFFOLK (ZONE),,4/15/07,2100,Coastal Flood,,,0,0,5000,0,MA,EST-5,,4679,Z,15,BOX,0,0,Amateur Radio,,,,,,,,,4/15/07,2200,,,,,,"An unusually strong and slow moving coastal storm for mid April tracked to western Long Island Sound on April 16th before weakening slowly and drifting offshore. This storm brought a variety of impacts in southern New England, including heavy snow to the higher elevations of western Massachusetts, damaging winds in excess of 60 mph, widespread river and stream flooding, and significant coastal flooding through several high tide cycles.|Snowfall totals as high as 4 to 8 inches were observed in the higher elevations of Franklin, Hampshire, and Hampden Counties. There were numerous reports of downed trees and power lines in these areas from the weight of the heavy, wet snow. Lesser storm totals of 1 to 3 inches were reported from northern Worcester into northwest Middlesex Counties. Most of this snow fell during the day on April 15th, and changed to rain at night as milder air was drawn into the interior.|East to northeast winds gusted as high as 60 mph in eastern Massachusetts. The highest gusts reported included 72 mph at the Blue Hill Observatory in Milton, 67 mph in East Falmouth, 64 mph on Nantucket, and 63 mph in Plymouth. There were widespread reports of downed trees, large branches, and power lines, as far inland as Taunton, Framingham, and Topsfield. Several roads were blocked by fallen trees in southeast Massachusetts. Wind damage was more sporadic across western and central Massachusetts.|Rainfall totals of 3 to 5 inches, combined with wet antecedent conditions, resulted in widespread river and stream flooding, as well as significant flooding of urban areas. The worst flooding affected the Merrimack Valley, where moderate to major flooding occurred on the Merrimack, Nashua, and North Nashua Rivers. For many locations, this may have been the worst flooding since the May, 2006 or April, 1987 floods ��� but along the North Nashua, the preliminary crests recorded may have been the highest since the floods of September, 1938.|Many small streams throughout the region also rose out of their banks and flooded nearby areas, including roadways. Major flooding occurred along the Mill River in Northampton, which required the evacuation of nearby residents. |Minor to moderate coastal flooding occurred along the coastline of|Massachusetts through several high tide cycles, due to the combination of strong onshore winds, high seas, and astronomically high tides.|Along the South Coast, the worst coastal flooding occurred with morning high tide on April 16th, where flood waters and debris closed several shore roads. In eastern Massachusetts, the worst coastal flooding occurred with the evening high tide on April 17th. Moderate flooding forced the closure of many shore roads. There were reports of cars stranded in flood waters along the Plymouth County coast. Although no injuries or fatalities were reported, four people including two children needed to be rescued from vehicles ��� one of whom nearly drowned when her car was carried away by flood waters in the Green Harbor section of Marshfield. On Nantucket, one home on Sheep Pond Road fell into the ocean after waves eroded the bluff underneath. Coastal flooding also affected Martha���s Vineyard and Chatham. A breach was opened on Norton Point Beach on Chappaquiddick Island, cutting off access to Edgartown, and also on Nauset Beach in Chatham where several cottages were cut off from the mainland.",6
80901,SUFFOLK CO.,ALLSTON,2/13/08,1537,Flood,,,0,0,5000,0,MA,EST-5,,14382,C,25,BOX,0,0,Amateur Radio,Heavy Rain,,,1,N,1,W,ALLSTON,2/13/08,2100,42.3645,-71.13,42.35,-71.1496,The Massachusetts Turnpike closed lanes near the Allston-Brighton tolls because of flooding.,"A low pressure system developed off the Mid-Atlantic coast and moved up the east coast southeast of Nantucket producing snow, rain, and ice across Southern New England. Widespread two to four inch rainfall amounts resulted in small stream and poor drainage flooding as well as some minor river flooding. In addition, there was some minor wind damage from strong northeast winds, especially along the coast.",9
199188,SUFFOLK (ZONE),,10/18/09,1115,Coastal Flood,,,0,0,0,0,MA,EST-5,,34463,Z,15,BOX,0,0,Amateur Radio,,,,,,,,,10/18/09,1300,,,,,Portions of both Winthrop Parkway and Winthrop Shore Drive were flooded with ocean waters and debris. A nearby secondary road was closed due to the amount of debris in the roadway.,"A strong low pressure system passed to the southeast of Nantucket bringing rain, a little bit of snow, and wind to Southern New England.",10
209930,SUFFOLK (ZONE),,1/2/10,1104,Coastal Flood,,,0,0,0,0,MA,EST-5,,36204,Z,15,BOX,0,0,Amateur Radio,,,,,,,,,1/2/10,1315,,,,,"Shore Road in Revere and Morrisey Boulevard in Boston were closed because of coastal flooding. Washington Avenue in Winthrop was flooded with two feet of water. Waves overtopped the seawall on Castle Island, flowing onto the sidewalks.","Low pressure east of Nantucket resulted in a long duration storm across southern New England. A long period of easterly winds, coupled with astronomically high tides, aided in producing coastal flooding along the east coast of Massachusetts.",11
217955,SUFFOLK CO.,CHARLESTOWN,3/14/10,755,Flood,,,0,0,10700000,0,MA,EST-5,,37099,C,25,BOX,0,0,State Official,Heavy Rain,,,1,SSE,2,WNW,BACK BAY ANNEX,3/15/10,900,42.3662,-71.0623,42.339,-71.1004,"Heavy rains resulted in flooding across much of Boston. This flooding resulted in damage to the collections at both the Bostonian Society and the Massachusetts Historical Society. In addition, several roads in Dorchester and Revere were closed. A portion of the MBTA Green line was closed between Fenway Park and Kenmore for several hours on Monday due to a flooded tunnel. A portion of the MBTA Red line was closed between Ashmont and Fields Corner because of flooded tracks. Passengers were transported by bus.","A stacked low pressure system (surface low and upper level low on top of each other) moved southeast of Nantucket, spreading rain across Southern New England. This resulted in widespread rainfall totals of three to six inches. In eastern Massachusetts, a strong southeasterly low level jet pumped ample moisture into the area, resulting in rainfall totals on the order of six to ten inches. This resulted in major flooding across eastern Massachusetts and Rhode Island, including small stream, urban, and poor drainage flooding. In addition, the Concord River at Lowell, the Shawsheen River at Wilimington, and the Pawtuxet River at Cranston reached record flood stages within two to four days of the rain. The Governor of Massachusetts declared a state of emergency and this was followed by a federal disaster declaration for seven Massachusetts counties.||Strong winds associated with the low pressure system and the low level jet affected both the east and south coasts, resulting in numerous downed trees and wires and some minor structural damage to a few buildings.",12
258007,SUFFOLK CO.,ALLSTON,8/25/10,1012,Flood,,,0,0,0,0,MA,EST-5,,44446,C,25,BOX,0,0,Amateur Radio,Heavy Rain,,,1,ENE,2,W,BACK BAY ANNEX,8/25/10,1046,42.3525,-71.1159,42.3324,-71.1018,"Several streets in Boston were flooded with one to two feet of water, including Storrow Drive coming out of Kenmore Square. The westbound lanes of Stuart Street were closed at Tremont Street due to flooding. The Massachusetts Bay Transit Authority subway station at Boylston Street also flooded.","A low pressure moving south of Martha's Vineyard and Nantucket combined with a building high pressure over the Canadian maritime provinces to produce a strong pressure gradient, resulting in strong winds across Southern New England.",14
273387,SUFFOLK (ZONE),,12/27/10,218,Coastal Flood,,,0,0,50000,0,MA,EST-5,,46983,Z,15,BOX,0,0,Amateur Radio,,,,,,,,,12/27/10,346,,,,,"Moderate coastal flooding impacted Suffolk County during the early morning high tide. In Winthrop, roads were flooded with as much as three feet of water in the Point Shirley section. Winthrop Parkway was closed. A portion of Morrissey Boulevard near UMass Boston was also closed.","Moderate to major coastal flooding affected the eastern Massachusetts coast during the early morning high tide. For some locations, especially near Hull and Scituate, this was the worst coastal flooding experienced since December, 1992.",15
350470,SUFFOLK (ZONE),,11/23/11,852,Coastal Flood,,,0,0,0,0,MA,EST-5,,58377,Z,15,BOX,0,0,Amateur Radio,,,,,,,,,11/23/11,915,,,,,Minor coastal flooding occurred with the high tide closing Morrissey Boulevard.,High astronomical tides combined with weak wave action to produce minor coastal flooding along the east coast of Massachusetts.,16
393034,SUFFOLK (ZONE),,6/3/12,2105,Coastal Flood,,,0,0,0,0,MA,EST-5,,65651,Z,15,BOX,0,0,Amateur Radio,,,,,,,,,6/3/12,2222,,,,,"In Boston, Morrissey Boulevard was closed in both directions due to minor coastal flooding. In addition, exit 14 on Interstate 93 Northbound was closed due to minor coastal flooding. John Avenue in Revere was flooded with several inches of water, flooding lawns up to the front steps of nearby homes.","High spring astronomical tides combined with low pressure off the east coast of Massachusetts to produce coastal flooding. This unseasonable coastal low pressure contributed to the flooding lasting through multiple tide cycles. Accompanying the low pressure was rainfall that further intensified the flooding, with the coastal contribution making it difficult for freshwater flooding to drain.",17
416749,SUFFOLK (ZONE),,10/29/12,945,Coastal Flood,,,0,0,3000000,0,MA,EST-5,,68679,Z,15,BOX,0,0,Amateur Radio,,,,,,,,,10/29/12,2000,,,,,"In Winthrop, minor coastal flooding occurred with the morning high tide with rocks from the seawall being pushed onto Winthrop Shore Drive. Shirley Street and other adjacent streets were flooded with one and a half feet of storm surge. In addition, four boats broke loose from their moorings. In Boston, minor coastal flooding closed the ramp for Morissey Boulevard (exit 14) off of Interstate 93. Minor coastal flooding also occurred at Columbia Point over the Harborwalk. The Savin Hill beach was washed over the seawall.","Sandy, a hybrid storm with both tropical and extra-tropical characteristics, brought high winds and coastal flooding to southern New England. Easterly winds gusted to 50 to 60 mph for interior southern New England; 55 to 65 mph along the eastern Massachusetts coast and along the I-95 corridor in southeast Massachusetts and Rhode Island; and 70 to 80 mph along the southeast Massachusetts and Rhode Island coasts. A few higher higher gusts occurred along the Rhode Island coast. A severe thunderstorm embedded in an outer band associated with Sandy produced wind gusts to 90 mph and concentrated damage in Wareham early Tuesday evening, |a day after the center of Sandy had moved into New Jersey. In general, moderate coastal flooding occurred along the Massachusetts coastline, and major coastal flooding impacted the Rhode Island coastline. The storm surge was generally 2.5 to 4.5 feet along the east coast of Massachusetts, but peaked late Monday afternoon in between high tide cycles. Seas built to between 20 and 25 feet Monday afternoon and evening just off the Massachusetts east coast. Along the south coast, the storm surge was 4 to 6 feet and seas from 30 to a little over 35 feet were observed in the outer coastal waters. The very large waves on top of the storm surge caused destructive coastal flooding along stretches of the Rhode Island exposed south coast. ||Sandy grew into a hurricane over the southwest Caribbean and then headed north across Jamaica, Cuba, and the Bahamas. As Sandy headed north of the Bahamas, the storm interacted with a vigorous weather system moving west to east across the United States and began to take on a hybrid structure. Strong high pressure over southeast Canada helped with the expansion of the strong winds well north of the center of Sandy. In essence, Sandy retained the structure of a hurricane near its center (until shortly before landfall) while taking on more of an extra-tropical cyclone configuration well away from the center. Sandy���s track was unusual. The storm headed northeast and then north across the western Atlantic and then sharply turned to the west to make landfall near Atlantic City, NJ during Monday evening. Sandy subsequently weakened and moved west across southern Pennsylvania on Tuesday before turning north and heading across western New York state into Quebec during Tuesday night and Wednesday.",19
